id,location_x,location_y,land_use_category,dryland_category,country,many_trees,tree_count
SWA14507,66.85906129,33.5990977,grassland,Semiarid,Afghanistan,FALSE,0
SWA13184,64.68801291,35.35027352,otherland,Semiarid,Afghanistan,FALSE,0
SWA14009,67.77237843,34.76708724,cropland,Semiarid,Afghanistan,FALSE,0
SWA13018,65.39947861,35.75047298,otherland,Semiarid,Afghanistan,FALSE,0
SWA2039,64.85132663,32.73024716,otherland,Arid,Afghanistan,FALSE,0
SWA2816,65.76491327,31.56791702,cropland,Arid,Afghanistan,FALSE,4
SWA2553,67.30776977,32.3599616,otherland,Arid,Afghanistan,FALSE,0
SWA13095,64.63626995,35.46211377,otherland,Semiarid,Afghanistan,FALSE,0
SWA1294,62.16419612,33.92329969,otherland,Arid,Afghanistan,FALSE,0
SWA1492,64.74703222,33.92195222,grassland,Arid,Afghanistan,FALSE,0
SWA13622,65.9125963,34.99885258,otherland,Semiarid,Afghanistan,FALSE,0
SWA12819,69.40282068,36.90121486,cropland,Semiarid,Afghanistan,FALSE,0
SWA1672,63.58281561,33.19647279,otherland,Arid,Afghanistan,FALSE,0
SWA14165,69.00046526,34.76088886,grassland,Semiarid,Afghanistan,FALSE,0
SWA13467,67.2816288,35.52598399,otherland,Semiarid,Afghanistan,FALSE,0
SWA13543,66.51303024,35.24732659,grassland,Semiarid,Afghanistan,FALSE,0
SWA13124,69.41386995,36.41828056,cropland,Semiarid,Afghanistan,FALSE,0
SWA13689,64.51364991,34.57035619,otherland,Semiarid,Afghanistan,FALSE,0
SWA13717,69.06191003,35.50334644,forest,Semiarid,Afghanistan,TRUE,0
SWA3311,65.30434702,30.69906647,otherland,Arid,Afghanistan,FALSE,0
SWA3412,64.99092482,30.47215203,otherland,Arid,Afghanistan,FALSE,0
SWA14220,67.26518963,34.29762767,grassland,Semiarid,Afghanistan,FALSE,0
SWA1478,62.04723547,33.28163308,otherland,Arid,Afghanistan,FALSE,0
SWA12967,69.49202338,36.67483941,otherland,Semiarid,Afghanistan,FALSE,0
SWA3506,63.57419179,29.97304806,otherland,Arid,Afghanistan,FALSE,0
SWA13916,65.46658276,34.4105459,grassland,Semiarid,Afghanistan,FALSE,0
SWA2183,61.9510259,31.71964247,otherland,Arid,Afghanistan,FALSE,0
SWA3403,63.3294907,30.0657542,otherland,Arid,Afghanistan,FALSE,0
SWA1595,61.04229016,32.71785041,otherland,Arid,Afghanistan,FALSE,0
SWA13989,63.60707013,33.86643633,grassland,Semiarid,Afghanistan,FALSE,0
SWA12468,66.48365533,36.95511377,grassland,Semiarid,Afghanistan,FALSE,0
SWA14764,67.24955894,33.06495944,grassland,Semiarid,Afghanistan,FALSE,0
SWA2099,61.32525947,31.71128814,grassland,Arid,Afghanistan,FALSE,0
SWA12935,64.20696507,35.61383922,cropland,Semiarid,Afghanistan,FALSE,0
SWA14508,67.01833259,33.63224554,otherland,Semiarid,Afghanistan,FALSE,0
SWA12790,61.19698005,35.15354247,otherland,Semiarid,Afghanistan,FALSE,0
SWA14860,69.40228169,33.24956323,forest,Semiarid,Afghanistan,FALSE,23
SWA13458,65.81369179,35.22388056,otherland,Semiarid,Afghanistan,FALSE,0
SWA13781,67.14499504,35.00882388,otherland,Semiarid,Afghanistan,FALSE,0
SWA14996,67.67886381,32.41520799,otherland,Semiarid,Afghanistan,FALSE,0
SWA3814,65.77704053,30.04365564,otherland,Arid,Afghanistan,FALSE,0
SWA13128,70.08302501,36.53739717,otherland,Semiarid,Afghanistan,FALSE,0
SWA1885,63.58146814,32.7380625,grassland,Arid,Afghanistan,FALSE,2
SWA14172,70.14366129,34.97163363,forest,Semiarid,Afghanistan,TRUE,0
SWA14671,67.95213132,33.4549181,grassland,Semiarid,Afghanistan,FALSE,0
SWA14960,67.47701237,32.49632586,otherland,Semiarid,Afghanistan,FALSE,0
SWA1882,63.01067861,32.59981178,otherland,Arid,Afghanistan,FALSE,0
SWA14961,67.63412771,32.5292042,otherland,Semiarid,Afghanistan,FALSE,0
SWA3310,65.11812626,30.65540835,otherland,Arid,Afghanistan,FALSE,0
SWA1959,63.83479305,32.64562586,otherland,Arid,Afghanistan,FALSE,0
SWA14013,68.42266887,34.89455818,grassland,Semiarid,Afghanistan,FALSE,0
SWA14339,67.19808547,34.03837388,otherland,Semiarid,Afghanistan,FALSE,0
SWA2022,61.63275279,31.94574842,grassland,Arid,Afghanistan,FALSE,0
SWA13299,68.50621219,36.00757081,otherland,Semiarid,Afghanistan,FALSE,0
SWA1946,61.37888889,32.03414265,grassland,Arid,Afghanistan,FALSE,0
SWA12538,69.73079559,37.44343796,grassland,Semiarid,Afghanistan,FALSE,0
SWA13694,65.31674377,34.74795312,grassland,Semiarid,Afghanistan,FALSE,0
SWA3415,65.54850912,30.60285691,otherland,Arid,Afghanistan,FALSE,0
SWA12744,69.35781508,37.01413309,cropland,Semiarid,Afghanistan,FALSE,0
SWA12798,65.90451146,36.22505294,cropland,Semiarid,Afghanistan,FALSE,0
SWA1877,62.06448312,32.36454301,otherland,Arid,Afghanistan,FALSE,0
SWA3604,63.08640659,29.69492965,otherland,Arid,Afghanistan,FALSE,0
SWA1537,62.11380063,33.14472983,otherland,Arid,Afghanistan,FALSE,0
SWA13098,65.12405515,35.56856413,grassland,Semiarid,Afghanistan,FALSE,0
SWA3013,65.88025695,31.28925961,otherland,Arid,Afghanistan,FALSE,0
SWA2700,61.78474774,30.74946196,wetland,Arid,Afghanistan,FALSE,0
SWA15116,68.99426688,32.066482,otherland,Semiarid,Afghanistan,FALSE,5
SWA13607,63.50277572,34.46309734,grassland,Semiarid,Afghanistan,FALSE,0
SWA13266,62.80963565,34.79727063,otherland,Semiarid,Afghanistan,FALSE,0
SWA13035,68.2019528,36.31506413,otherland,Semiarid,Afghanistan,FALSE,0
SWA2203,65.73661634,32.62595276,otherland,Arid,Afghanistan,FALSE,0
SWA2997,62.89776038,30.573482,otherland,Arid,Afghanistan,FALSE,0
SWA13562,69.63458602,35.85126395,grassland,Semiarid,Afghanistan,FALSE,0
SWA14512,67.65649576,33.7634894,otherland,Semiarid,Afghanistan,FALSE,0
SWA2890,61.54705352,30.37675095,otherland,Arid,Afghanistan,FALSE,0
SWA1295,62.35715424,33.97046124,otherland,Arid,Afghanistan,FALSE,0
SWA13285,66.20338096,35.55131648,grassland,Semiarid,Afghanistan,FALSE,0
SWA2796,62.03349124,30.65998976,otherland,Arid,Afghanistan,FALSE,0
SWA13113,67.58561869,36.07467496,grassland,Semiarid,Afghanistan,FALSE,0
