id,location_x,location_y,land_use_category,country,fra_class,tree_canopy,shrub_cover,palm_cover,vegetation_elements_bamboo_vegetation_element,main_land_class,sub_land_class,many_trees,tree_count,many_shrubs,shrub_count
SWA16913,79.37115589,26.41545004,cropland,India,oltc,30,40,0,90,cropland,cropland_nonirrigated_floodplain,FALSE,4,FALSE,6
SWA11193,54.46958672,36.8640246,cropland,Iran  (Islamic Republic of),ol,0,0,0,80,cropland,cropland_perennial,FALSE,0,FALSE,0
SWA2636,66.98060334,32.13897604,grassland,Afghanistan,fo,0,0,0,30,grassland,grassland,FALSE,0,FALSE,0
SWA10051,79.45281275,13.32636753,cropland,India,ol,0,0,100,0,forest,plantation_other,TRUE,0,FALSE,0
SWA13132,51.43076578,31.61130564,forest,Iran  (Islamic Republic of),fo,0,0,100,0,forest,plantation_other,TRUE,0,TRUE,0
SWA9631,82.01867069,16.67456826,otherland,India,ol,0,0,100,0,other,palm,FALSE,0,FALSE,0
SWA19942,79.37762376,10.46217908,otherland,India,ol,0,0,100,0,other,palm,FALSE,0,FALSE,0
SWA19953,79.27332935,10.31099262,cropland,India,ol,0,0,100,0,other,palm,FALSE,0,FALSE,0
SWA9557,81.94752412,17.17771465,cropland,India,ol,0,0,100,0,cropland,cropland_perennial,FALSE,0,FALSE,0
SWA10378,78.39801094,10.22906626,cropland,India,oltc,20,0,80,0,cropland,cropland_perennial,TRUE,0,FALSE,0
SWA10034,77.28257285,12.9547345,cropland,India,oltc,30,0,70,0,other,palm,FALSE,6,FALSE,0
SWA12734,67.68048078,36.70259735,cropland,Afghanistan,ol,0,0,70,0,forest,plantation_other,FALSE,0,FALSE,0
SWA19669,78.27027051,16.32233883,cropland,India,owl,0,20,60,0,cropland,cropland_nonirrigated_rainfed,FALSE,1,FALSE,20
SWA7266,82.0631373,25.81798055,cropland,India,ol,0,0,60,0,cropland,cropland_orchard,FALSE,0,FALSE,0
SWA10321,77.72643044,11.17741771,otherland,India,oltc,0,20,50,0,other,palm,FALSE,21,FALSE,0
SWA10092,78.72787231,12.9447632,grassland,India,ol,0,0,50,0,grassland,grassland,FALSE,0,FALSE,0
SWA10105,77.47849542,12.59388125,cropland,India,ol,0,0,50,0,other,palm,FALSE,0,FALSE,0
SWA10358,78.41633657,10.90145525,cropland,India,oltc,0,0,50,0,cropland,cropland_perennial,FALSE,5,TRUE,0
SWA10324,78.10183639,11.24559984,cropland,India,ol,0,0,50,0,forest,plantation_other,FALSE,0,FALSE,0
SWA10015,77.89675101,13.19701013,cropland,India,oltc,20,20,40,0,cropland,cropland_perennial,FALSE,1,TRUE,0
SWA10159,78.66454109,12.53809587,cropland,India,ol,30,0,40,0,cropland,cropland_perennial,FALSE,0,FALSE,0
SWA19077,73.2687205,17.84767819,cropland,India,oltc,20,0,40,0,cropland,cropland_perennial,FALSE,3,FALSE,0
